pose_x,pose_y,pose_z,orientation_x,orientation_y,orientation_z,orientation_w,steering_tire_angle,steering_tire_rotation_rate,acceleration,speed,jerk
6.623035,-0.687694,0.0,0.0,0.0,-0.003776,0.999993,0.023269,0.0,0.596844,6.601126,0.0
6.651298,-0.688152,0.0,0.0,0.0,-0.003352,0.999994,0.023269,0.0,0.596844,6.601126,0.0
6.713078,-0.689153,0.0,0.0,0.0,-0.002425,0.999997,0.023269,0.0,0.596844,6.601126,0.0
6.74283,-0.688247,0.0,0.0,0.0,-0.001787,0.999998,0.022521,0.0,0.595879,6.612224,0.0
6.761492,-0.688469,0.0,0.0,0.0,-0.001489,0.999999,0.022521,0.0,0.595879,6.612224,0.0
6.798384,-0.688906,0.0,0.0,0.0,-0.0009,1.0,0.022996,0.0,0.593892,6.619166,0.0
6.832049,-0.689306,0.0,0.0,0.0,-0.000363,1.0,0.022996,0.0,0.593892,6.619166,0.0
6.888596,-0.689676,0.0,0.0,0.0,0.00085,1.0,0.022541,0.0,0.595852,6.630316,0.0
6.914813,-0.68987,0.0,0.0,0.0,0.001289,0.999999,0.022541,0.0,0.595852,6.630316,0.0
6.939663,-0.690055,0.0,0.0,0.0,0.001705,0.999999,0.022541,0.0,0.595852,6.630316,0.0
6.975727,-0.692887,0.0,0.0,0.0,0.002217,0.999998,0.022282,0.0,0.595694,6.637375,0.0
7.026685,-0.692963,0.0,0.0,0.0,0.003113,0.999995,0.02237,0.0,0.596021,6.639489,0.0
7.078008,-0.693088,0.0,0.0,0.0,0.003992,0.999992,0.02237,0.0,0.596021,6.639489,0.0
7.118204,-0.693187,0.0,0.0,0.0,0.00468,0.999989,0.02237,0.0,0.596021,6.639489,0.0
7.17607,-0.692541,0.0,0.0,0.0,0.005618,0.999984,0.02383,0.0,0.594549,6.64596,0.0
7.201361,-0.692477,0.0,0.0,0.0,0.006051,0.999982,0.02383,0.0,0.594549,6.64596,0.0
7.230574,-0.692402,0.0,0.0,0.0,0.00655,0.999979,0.024158,0.0,0.595008,6.652611,0.0
7.265318,-0.692314,0.0,0.0,0.0,0.007145,0.999974,0.024158,0.0,0.595008,6.652611,0.0
7.322552,-0.693099,0.0,0.0,0.0,0.008047,0.999968,0.02401,0.0,0.594489,6.659158,0.0
7.375848,-0.692694,0.0,0.0,0.0,0.008934,0.99996,0.024,0.0,0.59436,6.661002,0.0
7.416971,-0.692382,0.0,0.0,0.0,0.009618,0.999954,0.024,0.0,0.59436,6.661002,0.0
7.473462,-0.691991,0.0,0.0,0.0,0.010498,0.999945,0.025112,0.0,0.594158,6.665129,0.0
7.500984,-0.691647,0.0,0.0,0.0,0.010948,0.99994,0.025112,0.0,0.594158,6.665129,0.0
7.527941,-0.69131,0.0,0.0,0.0,0.011388,0.999935,0.025112,0.0,0.594158,6.665129,0.0
7.527941,-0.69131,0.0,0.0,0.0,0.011388,0.999935,0.025646,0.0,0.594537,6.664726,0.0
7.613809,-0.68879,0.0,0.0,0.0,0.0128,0.999918,0.025646,0.0,0.594537,6.664726,0.0
7.613809,-0.68879,0.0,0.0,0.0,0.0128,0.999918,0.025422,0.0,0.591226,6.664725,0.0
7.669112,-0.687838,0.0,0.0,0.0,0.01371,0.999906,0.025422,0.0,0.591226,6.664725,0.0
7.679667,-0.687656,0.0,0.0,0.0,0.013883,0.999904,0.025422,0.0,0.591226,6.664725,0.0
7.719137,-0.686977,0.0,0.0,0.0,0.014533,0.999894,0.025422,0.0,0.591226,6.664725,0.0
7.729014,-0.686806,0.0,0.0,0.0,0.014695,0.999892,0.025422,0.0,0.591226,6.664725,0.0
7.781072,-0.6856,0.0,0.0,0.0,0.015578,0.999879,0.025513,0.0,0.5863,6.641986,0.0
7.801956,-0.685142,0.0,0.0,0.0,0.015924,0.999873,0.025513,0.0,0.5863,6.641986,0.0
7.830877,-0.684508,0.0,0.0,0.0,0.016404,0.999865,0.025513,0.0,0.5863,6.641986,0.0
7.888538,-0.683243,0.0,0.0,0.0,0.017361,0.999849,0.025592,0.0,0.587108,6.598494,0.0
7.983887,-0.682612,0.0,0.0,0.0,0.019006,0.999819,0.025592,0.0,0.587234,6.598494,0.0
8.032439,-0.6813,0.0,0.0,0.0,0.019827,0.999803,0.025592,0.0,0.587234,6.598494,0.0
8.038851,-0.681127,0.0,0.0,0.0,0.019935,0.999801,0.025977,0.0,0.583538,6.508438,0.0
8.091918,-0.679568,0.0,0.0,0.0,0.020875,0.999782,0.028016,0.0,0.565816,6.433887,0.0
8.112096,-0.678922,0.0,0.0,0.0,0.021222,0.999775,0.028016,0.0,0.565816,6.433887,0.0
8.139175,-0.678055,0.0,0.0,0.0,0.021687,0.999765,0.028016,0.0,0.565816,6.433887,0.0
8.139175,-0.678055,0.0,0.0,0.0,0.021687,0.999765,0.028558,0.0,0.579558,6.358357,0.0
8.23138,-0.675382,0.0,0.0,0.0,0.02326,0.999729,0.028558,0.0,0.579558,6.358357,0.0
8.23138,-0.675382,0.0,0.0,0.0,0.02326,0.999729,0.028329,0.0,0.570424,6.358225,0.0
8.288847,-0.673238,0.0,0.0,0.0,0.02425,0.999706,0.028329,0.0,0.570424,6.358225,0.0
8.33468,-0.671529,0.0,0.0,0.0,0.02504,0.999686,0.028329,0.0,0.570424,6.358225,0.0
8.395414,-0.668709,0.0,0.0,0.0,0.026059,0.99966,0.030213,0.0,0.571096,6.22184,0.0
8.428965,-0.667281,0.0,0.0,0.0,0.026639,0.999645,0.030213,0.0,0.571096,6.22184,0.0
8.445304,-0.666585,0.0,0.0,0.0,0.026921,0.999638,0.030213,0.0,0.571096,6.22184,0.0
8.515098,-0.663613,0.0,0.0,0.0,0.028128,0.999604,0.030213,0.0,0.571096,6.22184,0.0
8.55236,-0.660678,0.0,0.0,0.0,0.028892,0.999583,0.030825,0.0,0.571077,6.146038,0.0
8.55236,-0.660678,0.0,0.0,0.0,0.028892,0.999583,0.031063,0.0,0.561894,6.072911,0.0
8.614225,-0.657727,0.0,0.0,0.0,0.029987,0.99955,0.031063,0.0,0.561894,6.072911,0.0
8.650385,-0.656002,0.0,0.0,0.0,0.030627,0.999531,0.031063,0.0,0.561894,6.072911,0.0
